,price,year,mileage,clusters,cluster
627,19700,2017,61428.0,2,dark purple
628,23211,2019,17025.0,1,purple
629,15500,2017,37668.0,1,purple
630,18111,2019,15805.0,1,purple
631,21500,2017,43761.0,1,purple
632,25511,2019,11342.0,1,purple
633,17700,2017,35664.0,1,purple
634,28000,2017,12780.0,1,purple
635,14000,2017,38458.0,1,purple
636,21700,2017,34420.0,1,purple
637,13500,2017,46497.0,1,purple
638,35500,2017,21268.0,1,purple
639,29500,2017,31029.0,1,purple
640,25300,2017,40878.0,1,purple
641,21500,2016,20270.0,1,purple
642,25900,2016,32984.0,1,purple
643,35300,2016,75506.0,2,dark purple
644,13500,2016,39951.0,1,purple
646,46000,2016,4445.0,1,purple
647,9000,2016,67527.0,2,dark purple
648,25900,2016,33588.0,1,purple
649,25800,2016,10103.0,1,purple
650,17000,2016,26474.0,1,purple
651,12800,2016,40253.0,1,purple
652,47400,2016,39624.0,1,purple
653,24400,2016,48705.0,1,purple
654,17100,2016,19659.0,1,purple
655,7400,2015,91299.0,2,dark purple
656,33100,2015,81614.0,2,dark purple
657,22000,2020,179.0,1,purple
658,35000,2019,5523.0,1,purple
659,16500,2019,29841.0,1,purple
660,35300,2019,8516.0,1,purple
661,26900,2018,42941.0,1,purple
662,11600,2017,27498.0,1,purple
663,28100,2017,31141.0,1,purple
664,27700,2017,20784.0,1,purple
665,17700,2017,52667.0,1,purple
666,16600,2017,26003.0,1,purple
668,36800,2015,32332.0,1,purple
669,19500,2018,44333.0,1,purple
670,38800,2019,36198.0,1,purple
671,37500,2019,33331.0,1,purple
672,35000,2019,43082.0,1,purple
673,31100,2019,24561.0,1,purple
674,22600,2019,13485.0,1,purple
675,22400,2019,15524.0,1,purple
676,22700,2019,8996.0,1,purple
677,13700,2019,47282.0,1,purple
678,37100,2019,34470.0,1,purple
679,18500,2018,87264.0,2,dark purple
680,18300,2017,114344.0,0,pink
681,19000,2017,111635.0,2,dark purple
682,18500,2017,103955.0,2,dark purple
683,22500,2016,66640.0,2,dark purple
684,14500,2014,122018.0,0,pink
685,32800,2018,46915.0,1,purple
686,12300,2018,53599.0,2,dark purple
687,19600,2018,41672.0,1,purple
688,13600,2018,36047.0,1,purple
689,7200,2018,42561.0,1,purple
690,19900,2018,40345.0,1,purple
691,13000,2018,41751.0,1,purple
692,19700,2016,27593.0,1,purple
693,9400,2017,24009.0,1,purple
694,23800,2017,85697.0,2,dark purple
695,17700,2019,25223.0,1,purple
